Set,PPG-MAE,BCG-MAE,rPPG-MAE,PPG-SDE,BCG-SDE,rPPG-SDE,PPG-MSE,BCG-MSE,rPPG-MSE,PPG-RMSE,BCG-RMSE,rPPG-RMSE,PPG-PCC,BCG-PCC,rPPG-PCC
s120,0.024724629,6.06747431,3.499746369,0.02979664,5.761327275,1.550340591,0.000887896,47.69114172,14.60974833,0.029797584,6.905877332,3.822270049,0.999956403,0.064140499,0.921102722
s120_talk,0.681135903,8.801068152,7.169801746,1.050378231,3.131355975,2.42037791,1.541076945,87.06661324,57.26428631,1.241401202,9.330949214,7.567316982,0.874871675,0.793349371,0.876112539
s121,0.020111272,2.363515524,1.551208556,0.023279084,1.524213731,1.472412246,0.000701305,7.909433132,4.547253794,0.026482162,2.812371443,2.132429083,0.999940886,0.838378486,0.881595766
s121_talk,0.022662945,3.692002812,2.654599929,0.024710801,1.762757261,2.647392122,0.000756298,16.73819792,13.97726971,0.027500875,4.091234279,3.73861869,0.999960911,0.843684258,0.657870852
s122,0.022549061,1.596438802,0.095699192,0.033293085,1.696332359,0.112697535,0.001141383,3.580804592,0.014987371,0.033784364,1.892301401,0.12242292,0.999963911,0.884946631,0.999524868
s122_talk,0.606918635,3.81282836,2.052499542,0.76161592,2.561819999,1.428562807,0.913852825,17.4603582,6.221880067,0.955956498,4.178559345,2.494369673,0.978167684,0.725535285,0.931816931
s123,0.044955233,2.065758846,0.757064389,0.04389939,2.251133719,0.965001297,0.003279259,5.593931187,1.473934631,0.057264811,2.365149295,1.214057095,0.99992891,0.882882074,0.959858634
s123_talk,0.051551401,2.319219559,1.59638936,0.053636441,2.538728431,1.490670879,0.003510014,7.052368277,4.583237024,0.059245375,2.655629544,2.140849603,0.999914528,0.804075202,0.931505446
s124,0.082299336,4.066592377,9.113791835,0.08584586,2.733669195,6.493493565,0.00955058,23.99627452,125.2266603,0.097727071,4.89859924,11.19047185,0.999896882,0.890744186,0.16892754
s124_talk,0.046671326,9.0658425,10.60837607,0.07785343,2.134424532,3.143389605,0.006061222,86.74526831,122.418541,0.077853848,9.313713991,11.06429126,0.999817633,0.915835274,0.756422785
s125,0.032370246,4.547021095,0.399025019,0.039831771,3.099782825,0.744457338,0.001663247,26.9046395,0.691157032,0.040782921,5.186968238,0.831358546,0.9999363,0.699219329,0.982720899
s125_talk,0.398628175,7.73546248,3.066629295,0.71448531,5.32603401,2.924195594,0.632675353,77.62168133,14.51173987,0.795408922,8.810316756,3.809427761,0.994950426,0.663432197,0.927500819
s126,0.040441227,4.277604182,1.383200063,0.046041165,2.939087414,1.297204147,0.002359066,25.76945347,3.583425166,0.048570221,5.076362228,1.892993705,0.999908543,0.744496227,0.936691475
s126_talk,0.041596418,5.005482036,4.986141956,0.050426141,3.396509518,2.264482297,0.002989129,36.5363275,29.98949168,0.054672925,6.044528725,5.476266217,0.99996453,0.775329246,0.912991384
s127,0.037555588,1.146031702,2.165161994,0.049104068,0.173541537,2.545234677,0.002414518,1.343505327,11.13489949,0.049137746,1.159096772,3.336899683,0.99986277,0.999030256,0.657312863
s127_talk,0.403455357,1.618495434,1.587467803,0.731021773,1.489404489,1.463648664,0.68012754,3.66083327,3.09146691,0.824698454,1.913330413,1.758256782,0.990204226,0.959114111,0.961493266
s128,0.721966114,5.574977581,3.155387152,1.394770659,2.856252481,2.603237159,2.449664151,39.23855326,16.70373069,1.565140298,6.264068427,4.087019781,0.851969781,0.581396035,0.695781386
s128_talk,0.022078796,5.790793937,6.798312726,0.027789832,3.890672045,2.969469578,0.00080355,42.3519399,55.0348055,0.028346951,6.507836807,7.418544702,0.999973851,0.613545298,0.821530831
s129,0.021402399,1.32921878,2.05413963,0.026533612,1.340604945,2.011807394,0.000706616,2.155110778,6.733106734,0.026582244,1.468029556,2.594823064,0.999969615,0.922576785,0.867650279
s129_talk,0.027871037,3.335999911,3.510988596,0.033584039,2.497178095,3.155001901,0.00125532,16.10586326,17.45328854,0.035430492,4.01321109,4.177713314,0.999982694,0.893972162,0.822800017
s12_talk,1.653644461,9.494275633,9.134139733,2.054200627,3.630322967,4.825101085,5.904078279,103.3205146,106.7141091,2.429830916,10.16466992,10.33025213,0.953144195,0.789315149,0.626090361
s13,0.019619999,5.90009015,0.060081742,0.02370678,4.113012885,0.076252755,0.000581811,49.97471802,0.005880811,0.024120762,7.06927988,0.076686444,0.999988515,0.661695417,0.999881997
s130,0.026409131,1.410673907,2.002527373,0.033911701,0.219710167,2.185481208,0.001155611,2.038273429,8.578654952,0.033994273,1.427681137,2.928934098,0.999983207,0.999772785,0.928297135
s130_talk,1.1289326,9.632550492,1.105989234,1.06793621,3.012644916,1.028296288,2.380513696,101.8620584,2.265885269,1.542891343,10.0926735,1.505285776,0.980514016,0.827516648,0.98234959
s131,0.051989474,8.95155685,3.749821001,0.062284681,3.367534821,2.20764124,0.003979447,91.47066081,18.90724364,0.063082862,9.564029528,4.348246041,0.999169954,0.729669239,0.835379279
s131_talk,0.030965059,7.602208192,7.161890477,0.037004573,2.969119612,2.342441358,0.001392997,66.60924066,56.77970671,0.037322869,8.161448441,7.535231033,0.999786227,0.649954075,0.781426005
s132,16.21197114,5.012092595,7.286775858,7.04812924,5.821188165,3.823878078,312.504134,35.86390077,67.71914596,17.67778646,5.988647657,8.229164354,-0.768459841,0.427889801,0.794170293
s132_talk,12.16078774,10.56208691,13.3304831,12.81052289,10.70985248,10.96006342,311.9739853,135.0350332,200.5813962,17.66278532,11.62045753,14.16267617,-0.797756315,0.382697158,0.33865104
s133,0.03597795,3.239975811,1.158377656,0.046662248,2.945438844,1.532739513,0.002180461,15.55203721,2.44657914,0.046695409,3.943607132,1.564154449,0.999930944,0.683541968,0.924428708
s133_talk,0.044261186,2.135022677,0.8753949,0.053502917,2.178277383,0.92477503,0.002874304,8.047384175,1.314708358,0.05361254,2.836791176,1.146607325,0.999923029,0.860365717,0.979715797
s134,0.092980552,7.124143342,3.689422646,0.144208168,2.878442785,1.630528977,0.023294945,59.03885122,16.27046421,0.152626817,7.683674331,4.033666348,0.999195759,0.749164313,0.793731473
s134_talk,0.384770486,3.122746839,4.261106342,0.70096062,2.995840788,3.120970822,0.592846568,14.27685423,22.23497984,0.769965303,3.778472473,4.715398163,0.980768382,0.6317099,0.584985597
s135,0.047848268,4.278740235,11.28649806,0.057701691,2.67458891,4.415456634,0.003329652,24.14514631,146.8812958,0.057703135,4.913771088,12.11945938,0.999844853,0.82693494,0.305889588
s135_talk,0.038564005,6.775055158,9.914421503,0.042982689,3.09213698,3.798584494,0.002077856,55.4626835,112.7249979,0.045583502,7.447327272,10.61720292,0.999929941,0.613037368,0.632715943
s136,0.022087805,1.849820173,0.4259164,0.025380183,1.620960701,0.746938145,0.000767853,5.31190793,0.699753423,0.027710156,2.304757673,0.836512656,0.999981431,0.927863003,0.985082095
s136_talk,0.048244033,6.66102167,1.480102555,0.063161193,3.495567819,1.006551513,0.003989384,56.40564237,3.193291664,0.063161567,7.51036899,1.786978361,0.999928574,0.729750942,0.98128651
s13_talk,0.229453424,3.419808006,0.781346169,0.462492233,2.867150524,0.878394158,0.254571847,19.27787177,1.090831731,0.504551134,4.390657327,1.044428902,0.996659118,0.783917561,0.981732814
s14,0.064783506,1.740359856,0.062619049,0.077083489,1.459955839,0.074809856,0.006046384,4.063229061,0.005719275,0.077758498,2.015745287,0.075625891,0.999659651,0.906491177,0.999670567
s14_talk,1.518458579,9.826516295,9.382141566,1.894369608,4.295089777,5.243731874,5.744677328,115.0082187,115.5213043,2.396805651,10.72418849,10.74808375,0.710100906,0.20963584,0.078554936
s15,0.018963124,7.771747267,0.036962557,0.020812516,2.326275515,0.047393821,0.000664348,65.81161335,0.002386499,0.025774944,8.112435722,0.048851811,0.999973365,0.930161898,0.999873344
s15_talk,13.84368122,4.036128362,1.63974421,7.88417645,4.623952365,1.514412751,253.8062129,31.06382767,4.940154956,15.93129665,5.573493309,2.222645936,0.018309828,0.807110061,0.991609887
s16,0.0270617,2.657923707,0.981240066,0.032083595,1.157939719,0.989400143,0.001056896,8.405382825,1.920967738,0.032509944,2.899203826,1.385989804,0.999965679,0.926485748,0.953855049
s16_talk,0.024312362,5.039400855,0.724046576,0.027803513,3.265907385,0.913914485,0.00092434,36.0591846,1.348180973,0.030402953,6.004930025,1.161111955,0.999977121,0.653815167,0.970873367
s17,0.065568904,2.441803755,1.747321889,0.085986642,1.031976076,1.918173303,0.007427988,7.0273802,6.73248632,0.086185774,2.650920633,2.594703513,0.999386579,0.931560872,0.812141232
s17_talk,1.183093342,4.979110776,2.0151421,1.423966257,3.251894657,1.430733191,2.938274048,35.36636298,5.394315122,1.714139448,5.9469625,2.322566495,0.922940785,0.678603372,0.922890608
s18,0.02432726,1.126267027,17.52333254,0.032983733,0.716598783,4.385470675,0.001235463,1.781991233,326.2995365,0.035149147,1.334912444,18.06376308,0.99921253,0.627835225,0.008194019
s18_talk,0.039538545,13.00527922,5.611923284,0.047004587,3.024122468,1.312103881,0.002453181,178.2826043,33.21529955,0.049529598,13.35225091,5.763271601,0.999643474,0.52530199,0.759988658
s19,0.033953499,5.285424345,10.59828319,0.042400867,2.385344757,3.623852073,0.001873932,33.62558012,125.4559103,0.043288933,5.798756773,11.20071026,0.999757994,0.813549042,0.565420755
s19_talk,0.044545484,8.376231156,6.695187334,0.060904242,3.772785729,2.176681122,0.003765116,84.39516053,49.56347414,0.061360538,9.18668387,7.040133105,0.999689571,0.473794305,0.759318477
s20,0.0320922,1.320924486,9.911853271,0.037935551,0.721759183,3.191527005,0.001459154,2.265777816,108.4306799,0.038198874,1.505250084,10.41300532,0.999670864,0.948297254,0.373765706
s20_talk,2.812541792,7.479708781,6.174240332,2.620326457,2.89678809,3.507156242,14.75655708,64.33742469,50.42138858,3.841426438,8.021061319,7.100801967,0.827508273,0.818262115,0.5562584
s21,0.030122643,1.179682736,0.053290594,0.040833591,1.473501861,0.064889213,0.001670985,2.176981353,0.004421854,0.04087768,1.475459709,0.066497019,0.999989567,0.974182097,0.999955558
s21_talk,0.718682869,6.568952981,3.021401152,0.883823235,3.047950408,2.386940137,1.269774251,52.44114496,13.90607956,1.126842603,7.241625851,3.72908562,0.982283451,0.787262577,0.871779856
s22,0.392871841,2.925915979,1.922231785,0.717827277,1.133287714,2.102214191,0.653421084,9.84532536,8.043350325,0.808344657,3.137726145,2.836080098,0.938443117,0.870580993,0.739327093
s22_talk,1.164594293,7.372746332,4.029971438,1.191486676,6.239925563,3.58382995,2.651176558,62.6735307,20.32941144,1.628243397,7.916661588,4.50881486,0.974584132,-0.016405251,0.751282801
s23,0.03189552,3.640891952,0.989907701,0.040029207,3.810899984,1.555401604,0.001620222,17.13225626,2.549214869,0.040251976,4.13911298,1.596626089,0.999971814,0.671636225,0.957151631
s23_talk,0.034360639,6.37799513,2.366065768,0.041469254,6.407873914,2.946130346,0.00173991,65.97157984,13.98036809,0.041712229,8.122289077,3.739033042,0.999966856,0.203422462,0.824703455
s24,6.741284316,3.368635476,11.48805316,4.022309693,3.454037325,3.213297048,61.6238895,22.97642881,142.3006434,7.850088503,4.793373427,11.92898333,0.131642474,0.497806431,0.677452209
s24_talk,3.184751977,6.704628404,9.75004027,4.026952686,3.77327069,4.08236036,26.35899309,59.18961373,108.88075,5.134101002,7.69347865,10.43459391,0.402227338,0.534971411,0.370141153
s25,0.019208599,12.86830459,9.518282068,0.02256918,2.509488954,3.316791471,0.000586103,171.8907978,101.5987992,0.02420957,13.11071309,10.07962297,0.999903005,0.821978474,0.43134279
s25_talk,0.707943275,11.42674829,7.872241295,1.363613784,2.762213889,4.01228098,2.328224641,138.2004021,78.07058167,1.525852103,11.75586671,8.835755863,0.942744142,0.772849514,0.372227119
s26,0.022554991,1.481784598,6.051797213,0.028875566,0.792687603,3.75358863,0.000835152,2.824039229,50.70445395,0.028899002,1.680487795,7.120706001,0.999985012,0.985514935,0.62099111
s26_talk,1.056649486,6.129775772,2.080665916,1.411143572,6.985572927,2.47467996,3.087873478,52.40477636,7.495242214,1.757234611,7.239114336,2.737744001,0.958561317,-0.022273692,0.86366079
s27,0.070681083,18.90098133,17.9930281,0.279710761,3.405096239,4.390097023,0.079945988,368.8417756,343.0220119,0.282747216,19.20525386,18.52085343,0.999303493,0.90240199,0.814183769
s27_talk,2.739384265,24.61171559,9.636032992,2.10002255,3.820066795,3.397642761,11.91432086,620.3294548,104.3971082,3.451712743,24.90641393,10.21749031,0.939723659,0.789107314,0.844640962
s28,12.61505274,12.04347185,13.65681221,6.416820552,5.702639165,5.244319691,200.3151415,177.5653078,214.0114087,14.15327317,13.32536333,14.62912878,-0.842926139,0.198467719,0.410519195
s28_talk,5.532293929,10.86111267,14.92711657,6.311353316,4.142939628,4.454828263,63.03279762,134.5278577,242.6643039,7.93931972,11.59861447,15.57768609,-0.311893969,0.609482377,0.593809884
